"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"47126","47125","47124","47181","133387","49487","78847","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron columbianum","Plants","Flowering plants","Dicots","Heathers and allies","Heathers","Rhododendrons and azaleas","Western Labrador Tea","Plant",78847,"Rhododendron columbianum","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron columbianum",11,8,1,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,"Rhododendron columbianum","Present","",78847
"47126","47125","47124","47181","133387","51047","51046","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus menziesii","Plants","Flowering plants","Dicots","Heathers and allies","Heathers","Madrones","Pacific Madrone","Plant",51046,"Arbutus menziesii","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Arbutus","Arbutus menziesii",10,7,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,5,1,"Arbutus menziesii","Present","",51046
"47126","47125","47124","47181","48064","55820","487175","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","Primula hendersonii","Plants","Flowering plants","Dicots","Heathers and allies","Primroses","Primroses","Henderson's Shooting Star","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primula hendersonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dodecatheon hendersonii","Present","",487175
"47126","47125","47124","47181","48932","48933","78665","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Polemonium","Polemonium carneum","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Oregon polemonium","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polemonium carneum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polemonium carneum","Present","",78665
"47126","47125","47124","47181","48932","50837","51098","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Gilia","Gilia achilleifolia","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","California gilia","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia achilleifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia achilleifolia","Unconfirmed","",51098
"47126","47125","47124","47181","48932","50837","56630","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Gilia","Gilia clivorum","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Purplespot gilia","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia clivorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia clivorum","Present","",56630
"47126","47125","47124","47181","48932","50837","57793","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Gilia","Gilia capitata","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Bluehead gilia","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gilia capitata capitata","Unconfirmed","subspecies",57798
"47126","47125","47124","47181","48932","50837","57797","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Gilia","Gilia millefoliata","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Dark-eyed gilia","Plant",57797,"Gilia millefoliata","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Gilia","Gilia millefoliata",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Gilia millefoliata","Present","",57797
"47126","47125","47124","47181","48932","52942","53157","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia","Navarretia squarrosa","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","Pincushion plants","Skunkweed","Plant",53157,"Navarretia squarrosa","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia","Navarretia squarrosa",17,13,0,0,0,0,0,4,8,3,2,0,0,0,0,0,0,1,0,0,0,2,2,7,5,"Navarretia squarrosa","Present","",53157
"47126","47125","47124","47181","48932","52942","78191","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia","Navarretia rosulata","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","Pincushion plants","Marin County navarretia","Plant",78191,"Navarretia rosulata","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia","Navarretia rosulata",5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,NA,NA,NA,NA
