"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","inat.iconic","source","species.common","species.science","phylum.common","phylum.science","class.common","class.science","order.common","order.science","family.common","family.science","genus.common","genus.science","inat.ID"
"Cathartes aura","Bird","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes",42,33,3,7,3,1,3,4,4,3,1,5,5,3,1,2,1,2,0,3,4,9,6,12,2,"Present","921","Aves","iNat","Turkey Vulture","Cathartes aura","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","New World Vultures","Cathartidae","South Temperate Turkey Vulture","Cathartes","4756"
"Catharus fuscescens","Bird","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","2054998","Aves","iNat","Veery","Catharus fuscescens","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Thrushes","Turdidae","Brown Thrushes and Nightingale-Thrushes","Catharus","12901"
"Catharus guttatus","Bird","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus",4,3,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,"Present","1548","Aves","iNat","Hermit Thrush","Catharus guttatus","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Thrushes","Turdidae","Brown Thrushes and Nightingale-Thrushes","Catharus","12890"
"Catharus minimus","Bird","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","9912","Aves","iNat","Gray-cheeked Thrush","Catharus minimus","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Thrushes","Turdidae","Brown Thrushes and Nightingale-Thrushes","Catharus","12883"
"Catharus ustulatus","Bird","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus",2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Present","4883525","Aves","iNat","Swainson's Thrush","Catharus ustulatus","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Thrushes","Turdidae","Brown Thrushes and Nightingale-Thrushes","Catharus","12878"
"Catherpes mexicanus","Bird","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Catherpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","717723","Aves","iNat","Canyon Wren","Catherpes mexicanus","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Wrens","Troglodytidae","Wrens","Catherpes","7464"
"Catoptrophorus semipalmatus","Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1058","Aves","iNat","Willet","Tringa semipalmata","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Sandpipers and Allies","Scolopacidae","Shanks, Tattlers, and Allies","Tringa","144491"
"Catostomus occidentalis","Fish","Animalia","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Catostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","147499","Actinopterygii","iNat","Sacramento Sucker","Catostomus occidentalis","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Minnows, Carp, and Allies","Cypriniformes","Suckers","Catostomidae","Common Suckers","Catostomus","67613"
"Caulanthus lasiophyllus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Caulanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","253281","Plantae","iNat","California mustard","Caulanthus lasiophyllus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Mustards and allies","Brassicales","Mustards","Brassicaceae","Mustards","Caulanthus","76165"
"Ceanothus gloriosus","Plant","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","216147","Plantae","iNat","Point Reyes Ceanothus","Ceanothus gloriosus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Buckthorns","Rhamnaceae","Ceanothus","Ceanothus","76177"
"Ceanothus masonii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus",2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Not In Park","247024","Plantae","iNat","Mason's ceanothus","Ceanothus masonii","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Buckthorns","Rhamnaceae","Ceanothus","Ceanothus","76184"
"Ceanothus thyrsiflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus",7,7,1,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,"Present","18300","Plantae","iNat","Blueblossom","Ceanothus thyrsiflorus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Buckthorns","Rhamnaceae","Ceanothus","Ceanothus","56617"
"Ceanothus velutinus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","19560","Plantae","iNat","Snowbrush Ceanothus","Ceanothus velutinus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Buckthorns","Rhamnaceae","Ceanothus","Ceanothus","64043"
"Cebidichthys violaceus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1654580","Actinopterygii","iNat","Monkey-faced Prickleback","Cebidichthys violaceus","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Perch-like Fishes","Perciformes","Pricklebacks","Stichaeidae","Pricklebacks","Cebidichthys","61376"
"Celastrina echo","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina",7,4,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,NA,"278246","Insecta","iNat","Echo Azure","Celastrina echo","Arthropods","Arthropoda","Insects","Insecta","Butterflies and Moths","Lepidoptera","Gossamer-winged Butterflies","Lycaenidae","Holarctic Azures","Celastrina","52484"
"Cenchrus clandestinus","Plant","Viridiplantae","Streptophyta","Liliopsida","Poales","Poaceae","Cenchrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","688574","Plantae","iNat","Kikuyu Grass","Cenchrus clandestinus","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Grasses","Cenchrus","60298"
"Centaurea calcitrapa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","19928","Plantae","iNat","Purple star-thistle","Centaurea calcitrapa","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Knapweed","Centaurea","56865"
"Centaurea iberica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","3949365","Plantae","iNat","Iberian star-thistle","Centaurea iberica","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Knapweed","Centaurea","76212"
"Centaurea melitensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","3450410","Plantae","iNat","Maltese Star-thistle","Centaurea melitensis","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Knapweed","Centaurea","57922"
"Centaurea solstitialis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","4755","Plantae","iNat","Yellow Starthistle","Centaurea solstitialis","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Knapweed","Centaurea","52588"
"Centunculus minimus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","14010","Plantae","iNat","Chaffweed","Anagallis minima","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Heathers and allies","Ericales","Myrsine family","Myrsinaceae","Myrsine family","Anagallis","58993"
"Cepphus columba","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cepphus",4,4,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,"Present","1714","Aves","iNat","Pigeon Guillemot","Cepphus columba","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Auks, Murres, and Puffins","Alcidae","True Guillemots","Cepphus","4415"
"Cerastium arvense","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",10,8,0,0,3,5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,3,1,"Present","2778","Plantae","iNat","Field Chickweed","Cerastium arvense","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Pinks","Caryophyllaceae","Field mouse-ear chickweed","Cerastium","50851"
"Cerastium fontanum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","2193800","Plantae","iNat","Common Mouse-ear Chickweed","Cerastium fontanum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Pinks","Caryophyllaceae","Big chickweed","Cerastium","53307"
"Cerastium glomeratum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","5172","Plantae","iNat","Sticky Mouse-ear Chickweed","Cerastium glomeratum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Pinks","Caryophyllaceae","Pinks","Cerastium","52973"
"Cerastium viride","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"669036","Plantae","iNat","Western field mouse-ear chickweed","Cerastium viride","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Pinks","Caryophyllaceae","Pinks","Cerastium","60989"
"Ceratophyllum demersum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae","Ceratophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","80184","Plantae","iNat","Coontail","Ceratophyllum demersum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Ceratophyllales","Coontails","Ceratophyllaceae","Coontails","Ceratophyllum","60997"
"Ceratostoma foliatum","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"923319","Mollusca","iNat","Leafy Hornmouth","Ceratostoma foliatum","Mollusks","Mollusca","Gastropods","Gastropoda","Gastropods","Neogastropoda","Murex Snails","Muricidae","Murex Snails","Ceratostoma","116687"
"Cercyonis pegala","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"18257","Insecta","iNat","Common Wood Nymph","Cercyonis pegala","Arthropods","Arthropoda","Insects","Insecta","Butterflies and Moths","Lepidoptera","Brush-footed Butterflies","Nymphalidae","Wood-nymphs","Cercyonis","58606"
"Cerorhinca monocerata","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cerorhinca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","17700","Aves","iNat","Rhinoceros Auklet","Cerorhinca monocerata","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Auks, Murres, and Puffins","Alcidae","Auks, Murres, and Puffins","Cerorhinca","4553"
"Certhia americana","Bird","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia",3,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,"Present","1226","Aves","iNat","Brown Creeper","Certhia americana","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Treecreepers","Certhiidae","Typical Treecreepers","Certhia","7458"
"Cervus elaphus","Mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",85,62,6,2,9,9,6,3,2,7,11,9,15,6,3,2,0,4,2,7,5,13,18,26,5,"Present","6279522","Mammalia","iNat","Elk","Cervus elaphus","Chordates","Chordata","Mammals","Mammalia","Even-toed Ungulates","Artiodactyla","Deer","Cervidae","Rocky Mountain Elk","Cervus","42206"
"Ceryle alcyon","Bird","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","4801","Aves","iNat","Belted Kingfisher","Megaceryle alcyon","Chordates","Chordata","Birds","Aves","Kingfishers and Allies","Coraciiformes","Kingfishers","Alcedinidae","Kingfishers","Megaceryle","2548"
"Chaetura pelagica","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Chaetura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","35664","Aves","iNat","Chimney Swift","Chaetura pelagica","Chordates","Chordata","Birds","Aves","Nightjars, Swifts, Hummingbirds, and Allies","Caprimulgiformes","Swifts","Apodidae","Swifts","Chaetura","6571"
"Chaetura vauxi","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Chaetura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","281376","Aves","iNat","Vaux's Swift","Chaetura vauxi","Chordates","Chordata","Birds","Aves","Nightjars, Swifts, Hummingbirds, and Allies","Caprimulgiformes","Swifts","Apodidae","Swifts","Chaetura","6557"
"Chalybion californicum","Invertebrate","Animalia","Arthropoda","Insecta","Hymenoptera","Sphecidae","Chalybion",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"390771","Insecta","iNat","Blue Mud Dauber","Chalybion californicum","Arthropods","Arthropoda","Insects","Insecta","Ants, Bees, Wasps & Sawflies","Hymenoptera","Thread-waisted Wasps","Sphecidae","Thread-waisted Wasps","Chalybion","133790"
"Chamaea fasciata","Bird","Animalia","Chordata","Aves","Passeriformes","Paradoxornithidae","Chamaea",6,4,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,"Present","1656","Aves","iNat","Wrentit","Chamaea fasciata","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Parrotbills, Wrentit, and Allies","Paradoxornithidae","Parrotbills, Wrentit, and Allies","Chamaea","15256"
"Charadrius alexandrinus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","23278","Aves","iNat","Kentish Plover","Charadrius alexandrinus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4789"
"Charadrius hiaticula","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","8955","Aves","iNat","Common Ringed Plover","Charadrius hiaticula","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4801"
"Charadrius mongolus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,"Unconfirmed","23618","Aves","iNat","Lesser Sand-Plover","Charadrius mongolus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4785"
"Charadrius montanus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","624048","Aves","iNat","Mountain Plover","Charadrius montanus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4804"
"Charadrius morinellus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","8961","Aves","iNat","Eurasian Dotterel","Charadrius morinellus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","144486"
"Charadrius nivosus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",6,6,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,2,2,1,NA,"227950","Aves","iNat","Snowy Plover","Charadrius nivosus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","144485"
"Charadrius semipalmatus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",10,9,1,1,0,1,0,0,1,2,1,1,0,2,0,0,0,0,0,0,1,2,1,4,2,"Present","1879","Aves","iNat","Semipalmated Plover","Charadrius semipalmatus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4817"
"Charadrius vociferus","Bird","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius",2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"Present","1019","Aves","iNat","Killdeer","Charadrius vociferus","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Plovers and Lapwings","Charadriidae","Typical Plovers","Charadrius","4793"
"Charina bottae","Herp","Animalia","Chordata","Reptilia","Squamata","Boidae","Charina",2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"Present","437452","Reptilia","iNat","Northern Rubber Boa","Charina bottae","Chordates","Chordata","Reptiles","Reptilia","Lizards and Snakes","Squamata","Boas","Boidae","Rubber Boas","Charina","243962"
"Chasmanthe floribunda","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Chasmanthe",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"10282","Plantae","iNat","African flag","Chasmanthe floribunda","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Agaves and allies","Asparagales","Iris family","Iridaceae","Iris family","Chasmanthe","56028"
"Chelonia mydas","Herp","Animalia","Chordata","Reptilia","Testudines","Cheloniidae","Chelonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","82437","Reptilia","iNat","Green Sea Turtle","Chelonia mydas","Chordates","Chordata","Reptiles","Reptilia","Turtles and Tortoises","Testudines","Typical Sea Turtles","Cheloniidae","Pacific Green Turtle","Chelonia","39659"
"Chen caerulescens","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","996902","Aves","iNat","Snow Goose","Chen caerulescens","Chordates","Chordata","Birds","Aves","Waterfowl","Anseriformes","Ducks, Geese, and Swans","Anatidae","White Geese","Chen","7061"
"Chen canagica","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","709351","Aves","iNat","Emperor Goose","Chen canagica","Chordates","Chordata","Birds","Aves","Waterfowl","Anseriformes","Ducks, Geese, and Swans","Anatidae","White Geese","Chen","7064"
"Chen rossii","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Present","5820","Aves","iNat","Ross's Goose","Chen rossii","Chordates","Chordata","Birds","Aves","Waterfowl","Anseriformes","Ducks, Geese, and Swans","Anatidae","White Geese","Chen","7060"
"Chenopodium album","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","4077573","Plantae","iNat","Lamb's quarters","Chenopodium album","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","White Goosefoot","Chenopodium","58127"
"Chenopodium californicum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","31629","Plantae","iNat","California Goosefoot","Chenopodium californicum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","Amaranths","Chenopodium","57008"
"Chenopodium macrospermum","Plant","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","329418","Plantae","iNat","Large-seed Goosefoot","Chenopodium macrospermum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","Large-seed Goosefoot","Chenopodium","76280"
"Chenopodium murale","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1962736","Plantae","iNat","Nettle-leaved Goosefoot","Chenopodium murale","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","Amaranths","Chenopodium","61811"
"Chenopodium strictum","Plant","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","329423","Plantae","iNat","Striped Goosefoot","Chenopodium strictum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","Amaranths","Chenopodium","76287"
"Chenopodium vulvaria","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","925810","Plantae","iNat","Stinking Goosefoot","Chenopodium vulvaria","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Amaranths","Amaranthaceae","Amaranths","Chenopodium","76288"
"Chesnonia verrucosa","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Chesnonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","117525","Actinopterygii","iNat","Warty Poacher","Chesnonia verrucosa","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Mail-cheeked Fishes","Scorpaeniformes","Poachers","Agonidae","Poachers","Chesnonia","117525"
"Chlidonias niger","Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","8952","Aves","iNat","Black Tern","Chlidonias niger","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Gulls, Terns, and Skimmers","Laridae","Marsh Terns","Chlidonias","4512"
