"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","original.inat.taxonID"
-122.9505354166,38.1187842522,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja exserta",2010,7,49343
-122.9386663601,38.044478625,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia","Piperia elegans",2009,7,132362
-122.9505890608,38.1186238782,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja ambigua",2010,7,60738
-122.945895195,38.11862219,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Monardella villosa",2009,7,52183
-122.9507392645,38.1186745227,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis pilularis",2010,7,53359
-122.9489636421,38.1182575493,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Themidaceae","Triteleia","Triteleia laxa",2009,7,51085
-122.9509431124,38.1194257445,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria amphibia",2010,7,78450
-122.9438781738,38.1187910047,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe moschata",2009,7,453644
-122.940562,38.122011,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Chorizanthe","Chorizanthe cuspidata",2009,7,61076
-122.966387,37.991096,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orobanche","Orobanche californica",2010,8,57832
-122.9715585709,37.9925439016,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Phacelia","Phacelia californica",2010,8,53170
-122.966387,37.991096,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orobanche","Orobanche californica",2010,8,57832
-122.7440643311,37.9393238796,"Mammal","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bottae",2009,5,44062
-122.8642853,38.0705092,"Herp","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pituophis","Pituophis catenifer",2009,5,29044
-122.8642853,38.0705092,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus occidentalis",2009,5,4345
-122.8642853,38.0705092,"Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia","Zonotrichia leucophrys",2009,5,9176
-122.8642853,38.0705092,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea",2009,5,53983
-122.949821,38.118947,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense",2011,4,50845
-122.9507124424,38.1188787883,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","Calochortus tolmiei",2011,4,50840
-122.951087,38.118485,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus bicolor",2011,4,50614
-122.882616,38.027394,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja ambigua",2011,4,60738
-122.950508,38.118755,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium bellum",2011,4,49918
-122.951087,38.119059,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Nemophila","Nemophila menziesii",2011,4,50648
-122.947375,38.118265,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis",2011,4,47543
-122.965722,38.204346,"Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Rhopalomyia","Rhopalomyia californica",2009,1,55698
-122.940117,38.122192,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium quercetorum",2009,7,60954
-122.951554,38.118529,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Dudleya","Dudleya farinosa",2010,7,51889
-122.8010101318,38.019241333,"Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Polypodium","Polypodium scouleri",2011,6,64288
-122.9397201538,38.1222915649,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja exserta",2011,7,61109
-122.9508743286,38.1192741394,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Araliaceae","Hydrocotyle","Hydrocotyle ranunculoides",2011,7,60951
-122.9511642456,38.1196365356,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia chamissonis",2011,7,71135
-122.944364,38.118672,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Claytonia sibirica",2011,7,55767
-122.944356,38.118669,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe","Erythranthe moschata",2011,7,453644
-122.951014,38.119386,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Camissoniopsis","Camissoniopsis cheiranthifolia",2011,7,75976
-122.951025,38.11938,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Monardella sinuata",2011,7,80039
-122.950962,38.119316,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Nasturtium","Nasturtium officinale",2011,7,78174
-122.9508304596,38.1135170487,"Herp","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria coerulea",2010,8,32064
-122.9817295074,37.9953848266,"Mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus hemionus",2010,12,42221
-122.9818663001,37.9973484671,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina",2010,12,41708
-122.9822337627,37.9974351282,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2010,12,41728
-123.0164158344,37.9971011655,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus",2010,12,41740
-122.7835679054,37.9531908523,"Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster brevispinus",2010,6,49539
-122.9734897614,38.0828584426,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus glaucescens",2010,12,4399
-122.9712152481,38.0877900844,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus occidentalis",2010,12,4345
-122.8001010418,38.0408669092,"Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica",2010,12,506118
-122.9375228507,38.0903411468,"Herp","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps","Batrachoseps attenuatus",2012,1,27459
-122.9401812842,38.180524696,"Herp","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha granulosa",2012,1,27826
-122.8833782673,38.0330927499,"Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas americana",2012,1,6985
-122.8777644038,38.0414605,"Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans",2012,1,17013
-122.8078365326,38.0531602266,"Bird","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica",2012,1,1409
-122.8787595034,38.0395529652,"Bird","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile rufescens",2012,1,144820
-122.883067131,38.0331265524,"Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos",2012,1,6930
-122.8834962845,38.0330927499,"Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta",2012,1,6933
-122.8843009472,38.0325159927,"Bird","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",2012,1,4647
-122.8600001335,38.0440692849,"Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2012,1,5212
-122.8837752342,38.0252543789,"Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",2012,1,3849
-122.8787863255,38.0402923257,"Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2012,1,8234
-122.7995324135,38.0411372999,"Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla",2010,12,9185
-122.979515,37.99519,"Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans",2010,12,17013
-122.9653005585,37.9902275817,"Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",2010,12,8010
-122.9795752749,37.9953240031,"Bird","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto",2010,12,2969
-122.9919433594,38.0026557406,"Bird","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias",2012,4,4956
-122.9019927979,38.0486317945,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium fucatum",2012,4,53901
-122.9368400574,38.0728252404,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus sativus",2012,4,55410
-122.9864501953,38.0113122607,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus occidentalis",2012,4,4345
-122.9740905762,38.027540481,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Eschscholzia","Eschscholzia californica",2012,4,48225
-122.951348,38.118697,"Bird","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Stelgidopteryx","Stelgidopteryx serripennis",2012,5,11970
-122.950612,38.118552,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Triphysaria","Triphysaria eriantha",2012,5,61114
-122.944834,38.118988,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium californicum",2012,5,60550
-122.942195,38.121186,"Herp","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria coerulea",2012,5,32064
-122.95492,38.119547,"Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela hirticollis",2012,5,52619
-122.954764,38.123927,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Agoseris apargioides",2012,5,58801
-122.954345,38.123591,"Herp","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris sierra",2012,5,120720
-122.951928,38.122175,"Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela depressula",2012,5,127991
-122.951364,38.118683,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","Calochortus tolmiei",2012,5,50840
-122.9733181,38.2247969606,"Invertebrate","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Patiria","Patiria miniata",2011,7,48830
-122.9732322693,38.2246283913,"Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster brevispinus",2011,7,49539
-122.9744553566,38.225724085,"Invertebrate","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica",2011,7,51659
-122.9423115013,38.1210467945,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela frenata",2012,5,41810
-122.9496781883,38.11790952,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus sativus",2012,5,55410
-122.9390459118,38.1228092558,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis",2012,5,47543
-122.9496781883,38.11790952,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus arboreus",2012,5,61010
-122.9496781883,38.11790952,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Eschscholzia","Eschscholzia californica",2012,5,48225
-122.9389681277,38.12278499,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Silybum","Silybum marianum",2012,5,52586
-122.9437344131,38.1188675476,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla anserina",2012,5,62216
