Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,Spilogale putorius,Accepted,No,Approved,Present,,Native,,Rare,Breeder,Subunit: Giacomini,,"138168, 161595, 20169, 551859",14115230,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,107235,202390,Active,Enhydra lutris nereis,southern sea otter,Enhydra lutris lutris,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,,,"110376, 602188, 602239","185142, 185143, 583931, 9406, 9407, 9408, 9410","1441015, 1441016",,T,,,G4T2,CA: S2
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"common otter, North American River Otter, northern river otter, river otter",Lutra canadensis,Accepted,No,Approved,Present,,Native,,Uncommon,,,,,"202392, 202393, 9411, 9412, 9454, 9455, 9457, 9458, 9459, 9460, 9465, 9466",,"http://www.inaturalist.org/observations/588511, http://www.inaturalist.org/observations/588553, http://www.inaturalist.org/observations/588846, http://www.inaturalist.org/observations/592556, http://www.inaturalist.org/observations/596233, http://www.inaturalist.org/observations/597180, http://www.inaturalist.org/observations/599601",RT,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,627432,727015,Active,Lontra canadensis sonora,"Sonoran river otter, southwestern otter",,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115220,,,,,,G5T1,CA: S1
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,ermine,,Accepted,No,Approved,Present,,Native,,,,Subunit: Giacomini,,,14115190,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,551859,,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,631133,727256,Active,Mustela frenata munda,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115040,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,632119,727329,Active,Neovison vison aestuarina,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115050,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Breeder,Subunit: Giacomini,,"161595, 551859",14114820,,http://www.inaturalist.org/observations/595384,SC,,,G5,CA: S4
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Otariidae,93382,180636,Active,Arctocephalus townsendi,Guadalupe fur seal,,Accepted,No,Approved,Present,,Native,,Occasional,Management Priority; Vagrant,,,145010,,1446928,"http://www.inaturalist.org/observations/589572, http://www.inaturalist.org/observations/590427, http://www.inaturalist.org/observations/593360, http://www.inaturalist.org/observations/593885, http://www.inaturalist.org/observations/594182",T,CA: ST,,G1,CA: S1
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Otariidae,93372,180627,Active,Callorhinus ursinus,northern fur seal,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Migratory,,,"102119, 145012, 602188, 602239",,1446927,,,,,G3,CA: S1
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Otariidae,93370,180625,Active,Eumetopias jubatus,northern (Stellar) sea lion,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Resident,Subunit: Giacomini,,"102119, 602188, 602239",14115240,"1446925, 1446926",,DM,,,G3,CA: S2
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Otariidae,93366,180621,Active,Zalophus californianus,California sea lion,Zalophus californianus californianus,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Resident,"Subunit: Giacomini, Golden Gate Strait",,"102119, 145010, 548819, 602188, 602239","14100850, 14114900",1013022,"http://www.inaturalist.org/observations/586909, http://www.inaturalist.org/observations/592531, http://www.inaturalist.org/observations/593132, http://www.inaturalist.org/observations/593287, http://www.inaturalist.org/observations/595948, http://www.inaturalist.org/observations/596188, http://www.inaturalist.org/observations/596199, http://www.inaturalist.org/observations/597569, http://www.inaturalist.org/observations/600438",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Phocidae,95017,180672,Active,Mirounga angustirostris,northern elephant seal,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Resident,Subunit: Rodeo Lagoon and Beach,,"102119, 145010, 2223965, 602188, 602239",14256840,1447131,"http://www.inaturalist.org/observations/590429, http://www.inaturalist.org/observations/590593, http://www.inaturalist.org/observations/596498, http://www.inaturalist.org/observations/596560",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Phocidae,409203,622092,Active,Phoca vitulina richardii,harbor seal,Phoca vitulina,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Breeder,"Subunit: Giacomini, Golden Gate Strait",,"102119, 107093, 11853, 145012, 36079, 37044, 59763, 59764, 602188, 602239","14100840, 14115100",1441812,,,,,G5T5Q,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,630717,727425,Active,Bassariscus astutus raptor,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115180,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"161595, 20169, 36079, 551793, 551859",,,"http://www.inaturalist.org/observations/552283, http://www.inaturalist.org/observations/592982, http://www.inaturalist.org/observations/593737, http://www.inaturalist.org/observations/593881, http://www.inaturalist.org/observations/594985, http://www.inaturalist.org/observations/597272",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,631667,727481,Active,Procyon lotor psora,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115150,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Accepted,No,Approved,Present,,Native,,Unknown,Migratory,,,,"202389, 202390, 202391",,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,grizzly bear,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,,,,G4,CA: SX
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Balaenopteridae,92600,180524,Active,Balaenoptera acutorostrata,minke whale,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Resident,,,"602188, 602239",,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Balaenopteridae,92602,180526,Active,Balaenoptera borealis,sei whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,"602188, 602239",,,,E,,,G3,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Balaenopteridae,92604,180528,Active,Balaenoptera musculus,blue whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,602239,,,,E,,,G3G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Balaenopteridae,92603,180527,Active,Balaenoptera physalus,fin whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,602239,,,,E,,,G3G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,humpback whale,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Resident,,,"602188, 602239",,1446924,,RT,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,267640,555654,Active,Delphinus capensis,long-beaked common dolphin,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,602188,,,,,,,G4G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92504,180438,Active,Delphinus delphis,common dolphin,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,"102119, 602239",,1446914,,,,,G5,
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92525,180457,Active,Grampus griseus,Risso's dolphin,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,"602188, 602239",,,,,,,G5,
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92511,180444,Active,Lagenorhynchus obliquidens,Pacific white-sided dolphin,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,"102119, 602188, 602239",,"1446915, 1446916",,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92522,180454,Active,Lissodelphis borealis,northern right whale dolphin,,Accepted,No,Approved,Probably Present,,Native,,,,,,"602188, 602239",,1446917,,,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92538,180469,Active,Orcinus orca,killer whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,"602188, 602239",,,,,,,G4G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92500,180434,Active,Stenella coeruleoalba,striped dolphin,,Accepted,No,Approved,Probably Present,,Native,,,,,,102119,,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,91819,180417,Active,Steno bredanensis,rough-toothed dolphin,,Accepted,No,Approved,Present,,Native,,Unknown,Management Priority,,,,,"1441049, 1441050",,,,,G4,
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Delphinidae,92491,180426,Active,Tursiops truncatus,"Bottlenose Dolphin, Bottlenosed Dolphin",,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Marin Headlands,,,14119640,,"http://www.inaturalist.org/observations/593382, http://www.inaturalist.org/observations/595468",,,,G5,
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Eschrichtiidae,92597,180521,Active,Eschrichtius robustus,gray whale,,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Resident,,,"102119, 145013, 602188, 602239",,1446923,http://www.inaturalist.org/observations/592410,DM,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Hyperoodontidae,92568,180496,Active,Berardius bairdii,Baird's beaked whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,,202388,,,,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Hyperoodontidae,92587,180512,Active,Mesoplodon carlhubbsi,Hubb's beaked whale,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,1446921,,,,,G3Q,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Hyperoodontidae,92592,180517,Active,Mesoplodon densirostris,Blainville's beaked whale,,Accepted,No,Approved,Probably Present,,Native,,,Management Priority,,,102119,,1446922,,,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Hyperoodontidae,92570,180498,Active,Ziphius cavirostris,Cuvier's beaked whale,,Accepted,No,Approved,Probably Present,,Native,,,,,,"102119, 602188",,,,,,,G4,
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Kogiidae,92563,180491,Active,Kogia breviceps,pygmy sperm whale,,Accepted,No,Approved,Present,,Native,,Unknown,Vagrant,,,102119,,1446920,,,,,G4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Phocoenidae,92543,180473,Active,Phocoena phocoena,harbor porpoise,,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Resident,,,"102119, 145012, 602188, 602239",,1446918,"http://www.inaturalist.org/observations/591887, http://www.inaturalist.org/observations/594575",SU,,,G4G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Cetacea,Phocoenidae,92551,180480,Active,Phocoenoides dalli,Dall's porpoise,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Vagrant,,,"102119, 602188, 602239",,1446919,,,,,G4G5,
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian free-tailed bat,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,Subunit: Giacomini,,"143323, 561975, 603311",14114860,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,pallid bat,,Accepted,No,Approved,Present,,Native,,Unknown,,Subunit: Giacomini,,143323,14115120,1441046,,SC,,,G4G5,CA: S3
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,"Plecotus townsendii, Plecotus townsendii townsendii",Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Breeder,,,"13998, 143323, 552159",,,,,,,G3G4,CA: S2S3
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,115232,203453,Active,Corynorhinus townsendii townsendii,"Pacific Townsend's big-eared bat, Townsend's big-eared bat",,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115260,,,,,,G3G4T3T4,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"143323, 561975, 603311",14114830,,,SC,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Accepted,No,Approved,Present,,Native,,Unknown,Migratory,Subunit: Giacomini,,"143323, 561975, 603311",14115210,,,SC,,,G4,CA: S3S4
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,western red bat,,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,"143323, 561975, 603311",,,,SC,,,G4,CA: S3?
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"eastern red bat, Eastern Red Bat, red bat",,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115160,,,,,,G4,
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,Subunit: Giacomini,,"143323, 561975, 603311",14114990,,,SU,,,G4,CA: S4?
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California myotis,,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"143323, 561975, 603311",14114890,,,SC,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"long-eared myotis, Long-eared Myotis",,Accepted,No,Approved,Present,,Native,,,Management Priority,Subunit: Giacomini,,143323,14115020,,,SC,,,G4G5,CA: S4?
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown myotis,,Accepted,No,Approved,Present,,Native,,Rare,,Subunit: Giacomini,,"561975, 603311",14115010,,,SC,,,G3G4,CA: S2S3
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,fringed myotis,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,Subunit: Giacomini,,"143323, 561975, 603311",14114970,,,SC,,,G4,CA: S4
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,"long-legged myotis, Long-legged Myotis",,Accepted,No,Approved,Present,,Native,,,Management Priority,Subunit: Giacomini,,143323,14115030,,,SC,,,G4G5,CA: S4?
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma myotis,,Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Breeder,Subunit: Giacomini,,"13998, 143323, 561975, 603311",14115330,,,SC,,,G4G5,CA: S4?
GOGA,Golden Gate National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115320,,,SC,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia opossum,Didelphis marsupialis,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 24792, 551859",14115300,,http://www.inaturalist.org/observations/597774,,,,G5,CA: SNA
GOGA,Golden Gate National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,black-tailed jackrabbit,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,Subunit: Giacomini,,"161595, 20169, 551859",14114840,,"http://www.inaturalist.org/observations/597273, http://www.inaturalist.org/observations/598773",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,brush rabbit,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"161595, 20169, 551859",202592,,"http://www.inaturalist.org/observations/592302, http://www.inaturalist.org/observations/597356",SC,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Lagomorpha,Leporidae,630674,727943,Active,Sylvilagus bachmani ubericolor,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14114880,,,,,,,
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Aplodontiidae,115258,203477,Active,Aplodontia rufa phaea,Point Reyes mountain beaver,,Accepted,No,Approved,Present,,Native,,,,Subunit: Giacomini,,,14115140,,,SC,,,G5T2,CA: S2
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,260627,552505,Active,Arborimus pomo,Sonoma tree vole,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,,,SC,,,G3,CA: S3
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,California vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 548479, 551859, 552676, 558598","14114910, 202385",,"http://www.inaturalist.org/observations/587836, http://www.inaturalist.org/observations/588210, http://www.inaturalist.org/observations/590673, http://www.inaturalist.org/observations/590675",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,91770,180373,Active,Neotoma fuscipes,dusky-footed woodrat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 548479, 551859",14114940,,"http://www.inaturalist.org/observations/587709, http://www.inaturalist.org/observations/587962, http://www.inaturalist.org/observations/592429",,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,667195,-745006,Inactive,Neotoma fuscipes annectens,San Francisco dusky-footed woodrat,,Accepted,No,Approved,Unconfirmed,,Native,,,Management Priority,,,,,,,SC,,,G5T2T3,CA: S2S3
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Accepted,No,Approved,Present,,Non-native,,Unknown,,Subunit: Giacomini,,,"14115080, 202386",,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,California mouse,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"161595, 551859",,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,Peromyscus maniculatus gambelii,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,Subunit: Giacomini,,"161595, 20169, 548479, 551859, 552676, 558598","14114930, 202384",1013090,http://www.inaturalist.org/observations/595637,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,pi–on mouse,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"161595, 551859",,,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,western harvest mouse,Reithrodontomys megalotis longicaudus,Accepted,No,Approved,Present,,Native,,Common,Breeder,Subunit: Giacomini,,"161595, 20169, 548479, 551859, 552676, 558598",14115310,1013033,,,,,G5,CA: SNR
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Cricetidae,91739,180345,Active,Reithrodontomys raviventris,salt-marsh harvest mouse,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"161595, 551859, 552676",,,,E,CA: SE,,G1G2,CA: S1S2
GOGA,Golden Gate National Recreation Area,Mammal,1,Rodentia,Dipodidae,384501,609783,Active,Zapus trinotatus orarius,Point Reyes jumping mouse,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,Subunit: Giacomini,,552676,14115130,"1464294, 1464295",,SC,,,G5T1T3Q,CA: S1S3
