"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"DIMEL","","Dimelaena","Dimelaena","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"DIMER2","","Dimerella","Dimerella","Gyalectaceae","","Gyalectales","Ascomycetes","Ascomycota","Fungi"
"DIMER","","Dimeresia","Dimeresia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DIMER3","","Dimeria","Dimeria","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DIMOC","","Dimocarpus","Dimocarpus","Sapindaceae","Soapberry family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"DIMOR","","Dimorphocarpa","Dimorphocarpa","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"DIMOR3","","Dimorphotheca","Dimorphotheca","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DINEB","","Dinebra","Dinebra","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DIOCL","","Dioclea","Dioclea","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DIODI","","Diodia","Diodia","Rubiaceae","Madder family","Rubiales","Magnoliopsida","Magnoliophyta","Plantae"
"DIONA","","Dionaea","Dionaea","Droseraceae","Sundew family","Nepenthales","Magnoliopsida","Magnoliophyta","Plantae"
"DIOSC","","Dioscorea","Dioscorea","Dioscoreaceae","Yam family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"DIOSC2","","Dioscoreophyllum","Dioscoreophyllum","Menispermaceae","Moonseed family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"DIOSP","","Diospyros","Diospyros","Ebenaceae","Ebony family","Ebenales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPHY2","","Diphylleia","Diphylleia","Berberidaceae","Barberry family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPHY","","Diphysa","Diphysa","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPHY3","","Diphyscium","Diphyscium","Buxbaumiaceae","","Buxbaumiales","Bryopsida","Bryophyta","Plantae"
"DIPLA3","","Diplacus","Diplacus","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPLA4","","Diplasiolejeunea","Diplasiolejeunea","Lejeuneaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"DIPLA2","","Diplazium","Diplazium","Dryopteridaceae","Wood Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DIPLO4","","Diploicia","Diploicia","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"DIPLO3","","Diplophyllum","Diplophyllum","Scapaniaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"DIPLO2","","Diplopterygium","Diplopterygium","Gleicheniaceae","Forking Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DIPLO5","","Diploschistes","Diploschistes","Thelotremataceae","","Graphidales","Ascomycetes","Ascomycota","Fungi"
"DIPLO","","Diplotaxis","Diplotaxis","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPLO7","","Diplotomma","Diplotomma","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"DIPOG","","Dipogon","Dipogon","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPSA","","Dipsacus","Dipsacus","Dipsacaceae","Teasel family","Dipsacales","Magnoliopsida","Magnoliophyta","Plantae"
"DIPTE","","Dipteryx","Dipteryx","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DIRCA","","Dirca","Dirca","Thymelaeaceae","Mezereum family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"DIRIN","","Dirina","Dirina","Roccellaceae","","Opegraphales","Ascomycetes","Ascomycota","Fungi"
"DIRIN2","","Dirinaria","Dirinaria","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"DISCE","","Discelium","Discelium","Disceliaceae","","Funariales","Bryopsida","Bryophyta","Plantae"
"DISCH","","Dischidia","Dischidia","Asclepiadaceae","Milkweed family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"DISCO","","Discocalyx","Discocalyx","Myrsinaceae","Myrsine family","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"DISPH2","","Disphyma","Disphyma","Aizoaceae","Fig-marigold family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"DISSA","","Dissanthelium","Dissanthelium","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DISSO","","Dissochondrus","Dissochondrus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DISSO2","","Dissotis","Dissotis","Melastomataceae","Melastome family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"DISTI3","","Distichium","Distichium","Ditrichaceae","","Dicranales","Bryopsida","Bryophyta","Plantae"
"DISTI","","Distichlis","Distichlis","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DISTI2","","Distictis","Distictis","Bignoniaceae","Trumpet-creeper family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"DISTO","","Distopyrenis","Distopyrenis","Pyrenulaceae","","Pyrenulales","Ascomycetes","Ascomycota","Fungi"
"DITHY","","Dithyrea","Dithyrea","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"DITRI2","","Ditrichum","Ditrichum","Ditrichaceae","","Dicranales","Bryopsida","Bryophyta","Plantae"
"DITRY","","Ditrysinia","Ditrysinia","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"DITTA","","Ditta","Ditta","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"DITTR","","Dittrichia","Dittrichia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DODEC2","","Dodecahema","Dodecahema","Polygonaceae","Buckwheat family","Polygonales","Magnoliopsida","Magnoliophyta","Plantae"
"DODEC","","Dodecatheon","Dodecatheon","Primulaceae","Primrose family","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"DODON","","Dodonaea","Dodonaea","Sapindaceae","Soapberry family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"DOELL2","","Doellingeria","Doellingeria","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DOLIC3","","Dolichandrone","Dolichandrone","Bignoniaceae","Trumpet-creeper family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"DOLIC2","","Dolichos","Dolichos","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DOLIO","","Doliocarpus","Doliocarpus","Dilleniaceae","Dillenia family","Dilleniales","Magnoliopsida","Magnoliophyta","Plantae"
"DOMBE2","","Dombeya","Dombeya","Sterculiaceae","Cacao family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"DOMIN","","Domingoa","Domingoa","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"DONAX","","Donax","Donax","Marantaceae","Prayer-Plant family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"DONNE","","Donnellia","Donnellia","Sematophyllaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"DONRI","","Donrichardsia","Donrichardsia","Amblystegiaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"DOODI","","Doodia","Doodia","Blechnaceae","Chain Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DOPAT","","Dopatrium","Dopatrium","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"DOREM","","Dorema","Dorema","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"DORON","","Doronicum","Doronicum","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DORST","","Dorstenia","Dorstenia","Moraceae","Mulberry family","Urticales","Magnoliopsida","Magnoliophyta","Plantae"
"DORYC","","Dorycnium","Dorycnium","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"DORYO","","Doryopteris","Doryopteris","Pteridaceae","Maidenhair Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DOUGL","","Douglasia","Douglasia","Primulaceae","Primrose family","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"DOUIN","","Douinia","Douinia","Scapaniaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"DOVYA","","Dovyalis","Dovyalis","Flacourtiaceae","Flacourtia family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"DOWNI","","Downingia","Downingia","Campanulaceae","Bellflower family","Campanulales","Magnoliopsida","Magnoliophyta","Plantae"
"DOYER","","Doyerea","Doyerea","Cucurbitaceae","Cucumber family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"DRABA","","Draba","Draba","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"DRACA","","Dracaena","Dracaena","Agavaceae","Century-plant family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"DRACO","","Dracocephalum","Dracocephalum","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"DRACO2","","Dracontium","Dracontium","Araceae","Arum family","Arales","Liliopsida","Magnoliophyta","Plantae"
"DRACO4","","Dracontomelon","Dracontomelon","Anacardiaceae","Sumac family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"DRACO3","","Dracopis","Dracopis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DRACU","","Dracunculus","Dracunculus","Araceae","Arum family","Arales","Liliopsida","Magnoliophyta","Plantae"
"DRAPE","","Draperia","Draperia","Hydrophyllaceae","Waterleaf family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"DREPA3","","Drepanocladus","Drepanocladus","Amblystegiaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"DREPA2","","Drepanolejeunea","Drepanolejeunea","Lejeuneaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"DRIMY","","Drimys","Drimys","Winteraceae","Wintera family","Magnoliales","Magnoliopsida","Magnoliophyta","Plantae"
"DROSA","","Drosanthemum","Drosanthemum","Aizoaceae","Fig-marigold family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"DROSE","","Drosera","Drosera","Droseraceae","Sundew family","Nepenthales","Magnoliopsida","Magnoliophyta","Plantae"
"DRUMM","","Drummondia","Drummondia","Orthotrichaceae","","Orthotrichales","Bryopsida","Bryophyta","Plantae"
"DRYAS","","Dryas","Dryas","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"DRYMA","","Drymaria","Drymaria","Caryophyllaceae","Pink family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"DRYNA","","Drynaria","Drynaria","Polypodiaceae","Polypody family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DRYOB","","Dryobalanops","Dryobalanops","Dipterocarpaceae","Meranti family","Theales","Magnoliopsida","Magnoliophyta","Plantae"
"DRYOP2","","Dryopetalon","Dryopetalon","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"DRYOP","","Dryopteris","Dryopteris","Dryopteridaceae","Wood Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"DRYPE","","Drypetes","Drypetes","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"DRYPT","","Dryptodon","Dryptodon","Grimmiaceae","","Grimmiales","Bryopsida","Bryophyta","Plantae"
"DUBAU","","Dubautia","Dubautia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DUBOI","","Duboisia","Duboisia","Solanaceae","Potato family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"DUCHE","","Duchesnea","Duchesnea","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"DUDLE","","Dudleya","Dudleya","Crassulaceae","Stonecrop family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"DULIC","","Dulichium","Dulichium","Cyperaceae","Sedge family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DUMOR2","","Dumortiera","Dumortiera","Marchantiaceae","","Marchantiales","Hepaticopsida","Hepaticophyta","Plantae"
"DUPON","","Dupontia","Dupontia","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"DURAN","","Duranta","Duranta","Verbenaceae","Verbena family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"DURIO","","Durio","Durio","Bombacaceae","Kapok-tree family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"DYCKI","","Dyckia","Dyckia","Bromeliaceae","Bromeliad family","Bromeliales","Liliopsida","Magnoliophyta","Plantae"
"DYERA","","Dyera","Dyera","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"DYPSI","","Dypsis","Dypsis","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"DYSCH","","Dyschoriste","Dyschoriste","Acanthaceae","Acanthus family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"DYSOD","","Dysodiopsis","Dysodiopsis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"DYSOX","","Dysoxylum","Dysoxylum","Meliaceae","Mahogany family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"DYSPH","","Dysphania","Dysphania","Chenopodiaceae","Goosefoot family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"DYSSO","","Dyssodia","Dyssodia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EASTW","","Eastwoodia","Eastwoodia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EATON","","Eatonella","Eatonella","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EBENO","","Ebenopsis","Ebenopsis","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"EBENU","","Ebenus","Ebenus","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ECBAL","","Ecballium","Ecballium","Cucurbitaceae","Cucumber family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"ECCRE","","Eccremidium","Eccremidium","Ditrichaceae","","Dicranales","Bryopsida","Bryophyta","Plantae"
"ECCRE3","","Eccremocactus","Eccremocactus","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHEA","","Echeandia","Echeandia","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ECHEV","","Echeveria","Echeveria","Crassulaceae","Stonecrop family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN","","Echinacea","Echinacea","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN2","","Echinocactus","Echinocactus","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN3","","Echinocereus","Echinocereus","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN4","","Echinochloa","Echinochloa","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ECHIN5","","Echinocystis","Echinocystis","Cucurbitaceae","Cucumber family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN6","","Echinodorus","Echinodorus","Alismataceae","Water-plantain family","Alismatales","Liliopsida","Magnoliophyta","Plantae"
"ECHIN13","","Echinomastus","Echinomastus","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN7","","Echinopepon","Echinopepon","Cucurbitaceae","Cucumber family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN9","","Echinoplaca","Echinoplaca","Gomphillaceae","","Graphidales","Ascomycetes","Ascomycota","Fungi"
"ECHIN12","","Echinopogon","Echinopogon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ECHIN8","","Echinops","Echinops","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN11","","Echinopsis","Echinopsis","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIN10","","Echinothecium","Echinothecium","Capnodiaceae","","Capnodiales","Ascomycetes","Ascomycota","Fungi"
"ECHIT","","Echites","Echites","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"ECHIU","","Echium","Echium","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ECLIP","","Eclipta","Eclipta","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EDGEW","","Edgeworthia","Edgeworthia","Thymelaeaceae","Mezereum family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"EDITH","","Edithcolea","Edithcolea","Asclepiadaceae","Milkweed family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"EDRUD","","Edrudia","Edrudia","Lecanoraceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"EGERI","","Egeria","Egeria","Hydrocharitaceae","Tape-grass family","Hydrocharitales","Liliopsida","Magnoliophyta","Plantae"
"EGLET","","Egletes","Egletes","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EHREN","","Ehrendorferia","Ehrendorferia","Fumariaceae","Fumitory family","Papaverales","Magnoliopsida","Magnoliophyta","Plantae"
"EHRET","","Ehretia","Ehretia","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"EHRHA","","Ehrharta","Ehrharta","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"EICHH","","Eichhornia","Eichhornia","Pontederiaceae","Water-Hyacinth family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"EIGLE","","Eiglera","Eiglera","Eigleraceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ELAEA","","Elaeagnus","Elaeagnus","Elaeagnaceae","Oleaster family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"ELAEI","","Elaeis","Elaeis","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ELAEO","","Elaeocarpus","Elaeocarpus","Elaeocarpaceae","Elaeocarpus family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ELAPH","","Elaphoglossum","Elaphoglossum","Dryopteridaceae","Wood Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ELATI","","Elatine","Elatine","Elatinaceae","Waterwort family","Theales","Magnoliopsida","Magnoliophyta","Plantae"
"ELATO","","Elatostema","Elatostema","Urticaceae","Nettle family","Urticales","Magnoliopsida","Magnoliophyta","Plantae"
"ELEOC","","Eleocharis","Eleocharis","Cyperaceae","Sedge family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ELEPH","","Elephantopus","Elephantopus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ELETT","","Elettaria","Elettaria","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"ELEUS","","Eleusine","Eleusine","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ELEUT2","","Eleutheranthera","Eleutheranthera","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ELEUT","","Eleutherine","Eleutherine","Iridaceae","Iris family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ELEUT3","","Eleutherococcus","Eleutherococcus","Araliaceae","Ginseng family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"ELION","","Elionurus","Elionurus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ELLEA","","Elleanthus","Elleanthus","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"ELLIO","","Elliottia","Elliottia","Ericaceae","Heath family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ELLIS","","Ellisia","Ellisia","Hydrophyllaceae","Waterleaf family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"ELMER","","Elmera","Elmera","Saxifragaceae","Saxifrage family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"ELODE","","Elodea","Elodea","Hydrocharitaceae","Tape-grass family","Hydrocharitales","Liliopsida","Magnoliophyta","Plantae"
"ELSHO","","Elsholtzia","Elsholtzia","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ELTRO","","Eltroplectris","Eltroplectris","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"ELYMU","","Elymus","Elymus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ELYTR","","Elytraria","Elytraria","Acanthaceae","Acanthus family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"ELYTR3","","Elytrigia","Elytrigia","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"EMBEL","","Embelia","Embelia","Myrsinaceae","Myrsine family","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"EMBOT","","Embothrium","Embothrium","Proteaceae","Protea family","Proteales","Magnoliopsida","Magnoliophyta","Plantae"
"EMEX","","Emex","Emex","Polygonaceae","Buckwheat family","Polygonales","Magnoliopsida","Magnoliophyta","Plantae"
"EMILI","","Emilia","Emilia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EMMEN","","Emmenanthe","Emmenanthe","Hydrophyllaceae","Waterleaf family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"EMORY","","Emorya","Emorya","Buddlejaceae","Butterfly-bush family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"EMPET","","Empetrum","Empetrum","Empetraceae","Crowberry family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ENCAL2","","Encalypta","Encalypta","Encalyptaceae","","Pottiales","Bryopsida","Bryophyta","Plantae"
"ENCEL","","Encelia","Encelia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ENCEL2","","Enceliopsis","Enceliopsis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ENCEP","","Encephalartos","Encephalartos","Zamiaceae","Sago-palm family","Cycadales","Cycadopsida","Cycadophyta","Plantae"
"ENCHY","","Enchylaena","Enchylaena","Chenopodiaceae","Goosefoot family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ENCYC","","Encyclia","Encyclia","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"ENDIA","","Endiandra","Endiandra","Lauraceae","Laurel family","Laurales","Magnoliopsida","Magnoliophyta","Plantae"
"ENDOC","","Endocarpon","Endocarpon","Verrucariaceae","","Verrucariales","Ascomycetes","Ascomycota","Fungi"
"ENDOC2","","Endococcus","Endococcus","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ENDOL","","Endolepis","Endolepis","Chenopodiaceae","Goosefoot family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ENEMI","","Enemion","Enemion","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ENGEL","","Engelmannia","Engelmannia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ENHAL","","Enhalus","Enhalus","Hydrocharitaceae","Tape-grass family","Hydrocharitales","Liliopsida","Magnoliophyta","Plantae"
"ENICO","","Enicostema","Enicostema","Gentianaceae","Gentian family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"ENKIA","","Enkianthus","Enkianthus","Ericaceae","Heath family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ENNEA","","Enneapogon","Enneapogon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ENSET","","Ensete","Ensete","Musaceae","Banana family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"ENTAD2","","Entada","Entada","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ENTAN2","","Entandrophragma","Entandrophragma","Meliaceae","Mahogany family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ENTEL","","Entelea","Entelea","Tiliaceae","Linden family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ENTER4","","Enterographa","Enterographa","Opegraphaceae","","Opegraphales","Ascomycetes","Ascomycota","Fungi"
"ENTER","","Enterolobium","Enterolobium","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ENTER2","","Enteropogon","Enteropogon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ENTER3","","Enterosora","Enterosora","Grammitidaceae","Kihi Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ENTOD2","","Entodon","Entodon","Entodontaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"ENTOD3","","Entodontopsis","Entodontopsis","Stereophyllaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"ENTOL","","Entolasia","Entolasia","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ENTOS","","Entosthodon","Entosthodon","Funariaceae","","Funariales","Bryopsida","Bryophyta","Plantae"
"ENYDR","","Enydra","Enydra","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EOCAL","","Eocalypogeia","Eocalypogeia","Calypogeiaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"EOPYR","","Eopyrenula","Eopyrenula","Pleomassariaceae","","Dothideales","Ascomycetes","Ascomycota","Fungi"
"EPALT","","Epaltes","Epaltes","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"EPHEB","","Ephebe","Ephebe","Lichinaceae","","Lichinales","Ascomycetes","Ascomycota","Fungi"
"EPHED","","Ephedra","Ephedra","Ephedraceae","Mormon-tea family","Ephedrales","Gnetopsida","Gnetophyta","Plantae"
"EPHEM","","Ephemerum","Ephemerum","Ephemeraceae","","Funariales","Bryopsida","Bryophyta","Plantae"
"EPICL","","Epicladonia","Epicladonia","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"EPIDE","","Epidendrum","Epidendrum","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"EPIFA","","Epifagus","Epifagus","Orobanchaceae","Broom-rape family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"EPIGA","","Epigaea","Epigaea","Ericaceae","Heath family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"EPILI","","Epilichen","Epilichen","Rhizocarpaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"EPILO","","Epilobium","Epilobium","Onagraceae","Evening Primrose family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"EPIME","","Epimedium","Epimedium","Berberidaceae","Barberry family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
