"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"HAPLO11","","Haplopappus","Haplopappus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HAPLO3","","Haplophyton","Haplophyton","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"HAPLO4","","Haplostachys","Haplostachys","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"HARBO","","Harbouria","Harbouria","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"HARDE","","Hardenbergia","Hardenbergia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"HARMO","","Harmonia","Harmonia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HARPA","","Harpagonella","Harpagonella","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"HARPA4","","Harpagophytum","Harpagophytum","Pedaliaceae","Sesame family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"HARPA2","","Harpalejeunea","Harpalejeunea","Lejeuneaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"HARPA3","","Harpanthus","Harpanthus","Geocalycaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"HARPE","","Harperocallis","Harperocallis","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HARPU","","Harpullia","Harpullia","Sapindaceae","Soapberry family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"HARRI3","","Harrimanella","Harrimanella","Ericaceae","Heath family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"HARRI","","Harrisella","Harrisella","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"HARRI2","","Harrisia","Harrisia","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"HARTW","","Hartwrightia","Hartwrightia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HASSE","","Hassea","Hassea","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"HASTE2","","Hasteola","Hasteola","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HASTI","","Hastingsia","Hastingsia","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HATIO","","Hatiora","Hatiora","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"HAVAR","","Havardia","Havardia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
