"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"1","2","26036","26172","26504","29768","29813","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis getula","Animals","Chordates","Reptiles","Lizards and Snakes","Colubrid Snakes","Kingsnakes and Milk Snakes","Common Kingsnake","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lampropeltis getula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lampropeltis getula","Present","",29813
"1","2","26036","26172","26504","29768","371962","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis zonata","Animals","Chordates","Reptiles","Lizards and Snakes","Colubrid Snakes","Kingsnakes and Milk Snakes","California Mountain Kingsnake","Herp",371962,"Lampropeltis zonata","species","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis zonata",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Lampropeltis zonata","Present","",371962
"1","2","26036","26172","26504","29768","371963","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis multifasciata","Animals","Chordates","Reptiles","Lizards and Snakes","Colubrid Snakes","Kingsnakes and Milk Snakes","Coast Mountain Kingsnake","Herp",371963,"Lampropeltis multifasciata","species","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis multifasciata",10,8,0,0,1,2,0,1,2,0,1,1,2,0,0,0,0,1,0,1,1,2,4,1,0,NA,NA,NA,NA
"1","2","26036","26172","26504","29934","29935","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hypsiglena","Hypsiglena torquata","Animals","Chordates","Reptiles","Lizards and Snakes","Colubrid Snakes","Night snakes","Sinaloan Nightsnake","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsiglena torquata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsiglena torquata","Present","",29935
"1","2","26036","26172","26504","29934","29943","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hypsiglena","Hypsiglena ochrorhyncha","Animals","Chordates","Reptiles","Lizards and Snakes","Colubrid Snakes","Night snakes","Coast Night Snake","Herp",29946,"Hypsiglena ochrorhyncha klauberi","subspecies","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hypsiglena","Hypsiglena ochrorhyncha",8,8,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,NA,NA,NA,NA
"1","2","26036","26172","30667","30692","48268","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus oreganus","Animals","Chordates","Reptiles","Lizards and Snakes","Vipers","Rattlesnakes","Western Rattlesnake","Herp",30713,"Crotalus oreganus helleri","subspecies","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus oreganus",84,44,0,2,16,28,12,6,8,7,1,3,0,1,0,1,0,1,3,5,8,15,15,15,21,NA,NA,NA,NA
"1","2","26036","26172","30667","30692","81526","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus viridis","Animals","Chordates","Reptiles","Lizards and Snakes","Vipers","Rattlesnakes","Prairie Rattlesnake","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crotalus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crotalus viridis","Present","",81526
"1","2","26036","26172","31888","32049","32055","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria multicarinata","Animals","Chordates","Reptiles","Lizards and Snakes","Alligator Lizards and Legless Lizards","Alligator Lizards","Southern Alligator Lizard","Herp",32055,"Elgaria multicarinata","species","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria multicarinata",86,52,1,2,23,22,11,11,3,3,2,4,4,0,1,0,0,0,1,4,4,8,21,28,19,"Elgaria multicarinata webbii","Present","",32058
"1","2","26036","26172","32408","32409","371955","Animalia","Chordata","Reptilia","Squamata","Anniellidae","Anniella","Anniella pulchra","Animals","Chordates","Reptiles","Lizards and Snakes","American Legless Lizards","North American Legless Lizards","Northern Legless Lizard","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anniella pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anniella pulchra","Present","",371955
"1","2","26036","26172","32408","32409","479459","Animalia","Chordata","Reptilia","Squamata","Anniellidae","Anniella","Anniella stebbinsi","Animals","Chordates","Reptiles","Lizards and Snakes","American Legless Lizards","North American Legless Lizards","San Diegan Legless Lizard","Herp",479459,"Anniella stebbinsi","species","Animalia","Chordata","Reptilia","Squamata","Anniellidae","Anniella","Anniella stebbinsi",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
